region_name,district_name,cluster_name,village_name,cohort,cycle,household_id,quantity_per_household,seed,unit
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-BOA-M-065444-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-CHA-M-183143-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-CHR-M-063853-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-EDG-M-140637-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-EDW-M-082247-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-FRE-M-143814-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-FRA-M-091132-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-GEO-M-180815-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-GER-M-145811-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-GIL-M-151935-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-HIL-M-191619-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-JAM-M-080442-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-JOS-M-071551-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-JOS-M-092819-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-JOS-M-184630-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-JUL-M-153703-15,3.0,Maize,Kgs
