,district_name,cluster_name,village_name,champion_type,Total_champions_designed,Total_champions_reported
80,Kitagwenda,Nyakacwamba,Karubuguma_1,agric champion,4,4
81,Kitagwenda,Nyakacwamba,Karubuguma_1,coffee champion,4,4
82,Kitagwenda,Nyakacwamba,Karubuguma_1,village champion,1,1
83,Kitagwenda,Nyakacwamba,Karubuguma_1,wash champion,4,4
84,Kitagwenda,Nyakacwamba,Karubuguma_2,agric champion,9,9
85,Kitagwenda,Nyakacwamba,Karubuguma_2,coffee champion,9,9
86,Kitagwenda,Nyakacwamba,Karubuguma_2,village champion,1,1
87,Kitagwenda,Nyakacwamba,Karubuguma_2,wash champion,9,9
88,Kitagwenda,Nyakacwamba,Mpanga_Nyakacwamba,agric champion,4,4
89,Kitagwenda,Nyakacwamba,Mpanga_Nyakacwamba,coffee champion,4,4
90,Kitagwenda,Nyakacwamba,Mpanga_Nyakacwamba,village champion,1,1
91,Kitagwenda,Nyakacwamba,Mpanga_Nyakacwamba,wash champion,4,4
92,Kitagwenda,Nyakacwamba,Nyakacwamba_1,agric champion,5,5
93,Kitagwenda,Nyakacwamba,Nyakacwamba_1,coffee champion,5,5
94,Kitagwenda,Nyakacwamba,Nyakacwamba_1,village champion,1,1
95,Kitagwenda,Nyakacwamba,Nyakacwamba_1,wash champion,5,5
96,Kitagwenda,Nyakacwamba,Nyakacwamba_2,agric champion,4,4
97,Kitagwenda,Nyakacwamba,Nyakacwamba_2,coffee champion,4,4
98,Kitagwenda,Nyakacwamba,Nyakacwamba_2,village champion,1,1
99,Kitagwenda,Nyakacwamba,Nyakacwamba_2,wash champion,4,4
100,Kitagwenda,Nyakacwamba,Rwengwe_Nyakacwamba,agric champion,6,6
101,Kitagwenda,Nyakacwamba,Rwengwe_Nyakacwamba,coffee champion,6,6
102,Kitagwenda,Nyakacwamba,Rwengwe_Nyakacwamba,village champion,1,1
103,Kitagwenda,Nyakacwamba,Rwengwe_Nyakacwamba,wash champion,6,6
104,Rakai,Kanoni,Kamuli,agric champion,4,4
105,Rakai,Kanoni,Kamuli,coffee champion,4,4
106,Rakai,Kanoni,Kamuli,village champion,1,1
107,Rakai,Kanoni,Kamuli,wash champion,4,4
108,Rakai,Kanoni,Kanoni_Rakai,agric champion,8,8
109,Rakai,Kanoni,Kanoni_Rakai,coffee champion,8,8
110,Rakai,Kanoni,Kanoni_Rakai,village champion,1,1
111,Rakai,Kanoni,Kanoni_Rakai,wash champion,8,8
112,Rakai,Kanoni,Kikakata,agric champion,5,5
113,Rakai,Kanoni,Kikakata,coffee champion,5,5
114,Rakai,Kanoni,Kikakata,village champion,1,1
115,Rakai,Kanoni,Kikakata,wash champion,5,5
116,Rakai,Kanoni,Mpaama,agric champion,4,4
117,Rakai,Kanoni,Mpaama,coffee champion,4,4
118,Rakai,Kanoni,Mpaama,village champion,1,1
119,Rakai,Kanoni,Mpaama,wash champion,4,4
120,Rakai,Kasensero,Kammengo,agric champion,4,4
121,Rakai,Kasensero,Kammengo,coffee champion,4,4
122,Rakai,Kasensero,Kammengo,village champion,1,1
123,Rakai,Kasensero,Kammengo,wash champion,4,4
124,Rakai,Kasensero,Kisimbanyiriri,agric champion,6,6
125,Rakai,Kasensero,Kisimbanyiriri,coffee champion,6,6
126,Rakai,Kasensero,Kisimbanyiriri,village champion,1,1
127,Rakai,Kasensero,Kisimbanyiriri,wash champion,6,6
128,Rakai,Kasensero,Kitonezi,agric champion,10,10
129,Rakai,Kasensero,Kitonezi,coffee champion,10,10
130,Rakai,Kasensero,Kitonezi,village champion,1,1
131,Rakai,Kasensero,Kitonezi,wash champion,10,10
132,Rakai,Kasensero,Kiwaguzi_A,agric champion,6,6
133,Rakai,Kasensero,Kiwaguzi_A,coffee champion,6,6
134,Rakai,Kasensero,Kiwaguzi_A,village champion,1,1
135,Rakai,Kasensero,Kiwaguzi_A,wash champion,6,6
136,Rakai,Kasensero,Kiwaguzi_B,agric champion,6,6
137,Rakai,Kasensero,Kiwaguzi_B,coffee champion,6,6
138,Rakai,Kasensero,Kiwaguzi_B,village champion,1,1
139,Rakai,Kasensero,Kiwaguzi_B,wash champion,6,6
140,Rakai,Kasensero,Kyaluwakula,agric champion,4,4
141,Rakai,Kasensero,Kyaluwakula,coffee champion,4,4
142,Rakai,Kasensero,Kyaluwakula,village champion,1,1
143,Rakai,Kasensero,Kyaluwakula,wash champion,4,4
144,Rakai,Kasensero,Kyengeza_Rakai,agric champion,12,12
145,Rakai,Kasensero,Kyengeza_Rakai,coffee champion,12,12
146,Rakai,Kasensero,Kyengeza_Rakai,village champion,1,1
147,Rakai,Kasensero,Kyengeza_Rakai,wash champion,12,12
148,Rakai,Kasensero,Mikunyu,agric champion,6,6
149,Rakai,Kasensero,Mikunyu,coffee champion,6,6
150,Rakai,Kasensero,Mikunyu,village champion,1,1
151,Rakai,Kasensero,Mikunyu,wash champion,6,6
152,Rakai,Kasensero,Nabyala,agric champion,4,3
153,Rakai,Kasensero,Nabyala,coffee champion,4,4
154,Rakai,Kasensero,Nabyala,village champion,1,1
155,Rakai,Kasensero,Nabyala,wash champion,4,4
156,Rakai,Kasensero,Nakitokolo,agric champion,6,5
157,Rakai,Kasensero,Nakitokolo,coffee champion,6,6
158,Rakai,Kasensero,Nakitokolo,village champion,1,1
159,Rakai,Kasensero,Nakitokolo,wash champion,6,6
160,Rakai,Kyamakanaga,Kyamakanaga_A,agric champion,7,7
161,Rakai,Kyamakanaga,Kyamakanaga_A,coffee champion,7,7
162,Rakai,Kyamakanaga,Kyamakanaga_A,village champion,1,1
163,Rakai,Kyamakanaga,Kyamakanaga_A,wash champion,7,7
164,Rakai,Kyamakanaga,Kyamakanaga_B,agric champion,3,3
165,Rakai,Kyamakanaga,Kyamakanaga_B,coffee champion,3,3
166,Rakai,Kyamakanaga,Kyamakanaga_B,village champion,1,1
167,Rakai,Kyamakanaga,Kyamakanaga_B,wash champion,3,3
168,Rakai,Kyamakanaga,Nnongo_A,agric champion,9,9
169,Rakai,Kyamakanaga,Nnongo_A,coffee champion,9,9
170,Rakai,Kyamakanaga,Nnongo_A,village champion,1,1
171,Rakai,Kyamakanaga,Nnongo_A,wash champion,9,9
