district_name,cohort,cycle,type,No_of_HH_attended_training,Total_population,percentage_attendance
Kitagwenda,2025,A,Agriculture 1 - Organics Farming & Keyhole gardening,1939,2014.0,0.9627606752730884
Kitagwenda,2025,A,Agriculture 2 - Preparation & Preplanting (Day 1),1931,2014.0,0.9587884806355511
Kitagwenda,2025,A,Agriculture 2 - Preparation & Preplanting (Day 2),1924,2014.0,0.9553128103277061
Rakai,2025,A,Agriculture 1 - Organics Farming & Keyhole gardening,1940,2087.0,0.9295639674173455
Rakai,2025,A,Agriculture 2 - Preparation & Preplanting (Day 1),1939,2087.0,0.9290848107331098
Rakai,2025,A,Agriculture 2 - Preparation & Preplanting (Day 2),1912,2087.0,0.9161475802587447
